"1-molssaeavttut","1-valinnat"
"argumeanttat","parametrit"
"boahtte vuolggáheapmi 1","seuraava uudelleenkäynnistys 1"
"bálvá '1' klienta '2'","palvelin \"1\" asiakas \"2\""
"divo dan.","korjaa."
"kwin lea dál heaittiheamen ...","kwin suljetaan..."
"lasi dieđud","lisätiedot"
"maŋŋá áigemearri 1","aikalisän jälkeen 1"
"molssaeavttut","valinnat"
"oppalaš molssaeavttut","yleiset valinnat"
"syntáksa","käyttö"
"vuordimin bálvvá","odotetaan palvelinta"
"čale /help gohččun vai oažžut eanet dieđuid.","kirjoita /help komento saadaksesi lisätietoja."
"fiila giddejuvvon","tiedosto suljettu"
"fiila rahppon","tiedosto avattu"
" iešvuođat","ominaisuudet"
"áigemearri 1","määräpäivä 1"
"19 2 mb ram","19 2 mt ram"
"bargotelefuvdna 1","työpuhelin 1"
"látnjanummir 1","huoneen numero 1"
"mearkkuš","tietue"
"ará rámmas","toisessa kehyksessä"
"askkoduvvon","vaimennettu"
"đđa láses","uudessa ikkunassa"
"ai logakeahtes artihkkalat","ei lukemattomia artikkeleita"
"ávdno juo čujuhusgirjjis","on jo osoitekirjassa"
"ujuha dása 1","osoittaa kohteeseen 1"
"+2 5 seavdnjabut","+2 5 tummempi"
"-2 5 čuovgabut","-2 5 kevyempi"
"0 ii makkárge rievdadus","0 ei muutosta"
"1 6 - 2 3 mb muitu oktiibuot","1 6 - 2 3 mt yhteensä ram"
"2 - 3 mb muitu oktiibuot","2 - 3 mt yhteensä muistia"
"2 4 - 3 1 mb muitu oktiibuot","2 4 - 3 1 mt yhteensä ram"
"3 2 - 3 9 mb muitu oktiibuot","3 2 - 3 9 mt yhteensä ram"
"4 - 5 mb muitu oktiibuot","4 - 5 mt yhteensä muistiamt yhteensä"
"4 0 - 5 6 mb muitu oktiibuot","4 0 - 5 6 mt yhteensä ram"
"6 - 9 mb muitu oktiibuot","6 - 9 mt yhteensä muistia"
"8 - 1 5 mb muitu oktiibuot","8 - 1 5 mt yhteensä ram"
"ruossodomena","verkkoalueen ylittävä"
"block","block"
"bisánan","pysähdyksissä"
"bábirgáldu","paperilähde"
"gárri 1 (manuella","kaukalo 1 (manuaalinen"
"hijjahas","hijjahin"
"ii leat swap-sadji olámuttus","näennäismuistia ei ole käytettävissä"
"ii sáhttán čállit oktavuohtalisttu fiilii.","yhteystietoluetteloa ei voitu kirjoittaa tiedostoon."
"j. awalas","j. awalin"
"j. thaanias","j. thaanin"
"jumaada al-awalas","jumaada al-awalin"
"jumaada al-thaanias","jumaada al-thaanin"
"konfaluhttabiebmi","kirjekuorisyötin"
"lai","block"
"las","lis"
"lin","line"
"linnja","rivi"
"linnja 1 čuol 2","rivi 1, sarake 2"
linnjá 1","rivi 1"
"mb","mb"
"muharramis","muharramin"
"qi`dahas","qi`dahin"
"r. awalas","r. awalin"
"r. thaanias","r. thaanin"
"rabi` al-awalas","rabi`al-awalin"
"rabi` al-thaanias","rabi`al-thaanin"
"rajabas","rajabin"
"ramadanas","ramadanin"
"safaras","safarin"
"shawwalas","shawwalin"
"shá`banas","sha`banin"
"thu al-hijjahas","thu al-hijjahin"
"thu al-qi`dahas","thu al-qi`dahin"
"tray 1","kaukalo 1"
"oidojuvvon","suositeltu"
"čihkojuvvon","piilotettu"
"bihttá","bittiä"
"geargan","valmis"
"gitta","to"
"govvačuoggát/s","pikseliä/sek"
"govvačuokkis","piste"
"gárri 1 0","kaukalo 1 0"
"gárri 2","kaukalo 2"
"gárri 3","kaukalo 3"
"gárri 4","kaukalo 4"
"gárri 5","kaukalo 5"
"gárri 6","kaukalo 6"
"gárri 7","kaukalo 7"
"gárri 8","kaukalo 8"
"gárri 9","kaukalo 9"
"ks","kt"
"kbps","kbit/s"
"linnja","viiva"
"ms","ms"
"pt","pt"
"čuolda 1","sarake 1"
"čáb","yli"
"čálihankvalitehta","tulostuslaatu"
"čállindárkkisteapmi 1","oikolue 1"
"- ( 1 olggoža haga ","- ( 1 ilman kansikuvaa "
"- bcc","- piilokopio"
"- cc","- kopio"
"- speallu","- peli"
"!! meattáhus s","!! virhe s"
"${package} ii lean vejolaš sajáiduhttit","pakettia ${package} ei voida asentaa"
"${package} vižžojuvvo","noudetaan ${package}"
"${section} ${info} ...","${section} ${info}..."
"${iface}a jođaskeahtes essid","langattoman verkon essid liitännälle ${iface}"
" čájeheami govdodagas"," näkymän leveydestä"
"1 (ai-speallár","1 (tietokonepelaaja"
"1 (olbmospeallár","1 (ihmispelaaja"
"1 2 don čállet 3 4","kirjoitit 1 2 3 4"
"1 2 reivves sáddejuvvon gárgadusas.","1 viestiä 2 jonottavasta viestistä lähetetty onnistuneesti."
"1 2s (3 geavahuvvon","1/2 (3 käytetty"
"1 dieđut","tietoja ohjelmasta 1"
"1 fierpmádatbáiki","1n web-sivusto"
